epoch;acc;loss;val_acc;val_loss
0;0.2532374997693114;2.306026125252247;0.23324999967589974;2.142241059243679
1;0.23544999986421317;2.1105111791938542;0.23364999974146486;2.1417349269986152
2;0.23613749976502732;2.109941233098507;0.23374999972060323;2.141842859685421
3;0.23627499976661057;2.109749238714576;0.23399999970570207;2.1409276637434957
4;0.23708749959943817;2.1092921230196953;0.234349999781698;2.1408178794384
5;0.23694999979110434;2.1087946995347737;0.23464999979361892;2.140423726141453
6;0.23737499978393317;2.1086726462841034;0.23494999988004564;2.140277304649353
7;0.2377249997272156;2.108290694877505;0.23499999972060323;2.1399825006723403
8;0.23771249975077807;2.1076605239510537;0.23489999970421194;2.1397612893581393
9;0.2380374998250045;2.1073850130289795;0.23574999975040556;2.13952506929636
